yourlist:M202205026320BA52A5CE8FCD097CB85A53697A354C076DK	Cluster ID
A0A0G2K7Y5	UniRef90_A0A0G2K7Y5
B4DP62	UniRef90_A0A452S5B8
B1AKN6	UniRef90_B1AKN6
O43678	UniRef90_O43678
Q86WG5	UniRef90_Q86WG5
A0A1W2PQK2	UniRef90_A0A1W2PQK2
O19004	UniRef90_O19004
P12246	UniRef90_P12246
G8JLH6	UniRef90_A0A7N9D845
F1SJI1	UniRef90_F1SJI1
Q02780	UniRef90_Q02780
Q92542	UniRef90_Q92542
A0A0H2UHZ4	UniRef90_A0A0H2UHZ4
Q8IUG5	UniRef90_Q8IUG5
U3KQK2	UniRef90_U3KQK2
F8VWQ0	UniRef90_F8VWQ0
H7BYH4	UniRef90_H7BYH4
I3LN63	UniRef90_A0A4X1VU20
F1RSN2	UniRef90_A0A340XTK3
A0A087WWD4	UniRef90_A0A087WWD4
Q4V8F9	UniRef90_Q4V8F9
Q68DW7	UniRef90_A0A452QVJ3
E5RIR0	UniRef90_E5RIR0
D3Z9E7	UniRef90_D3Z9E7
J3QSB2	UniRef90_O75616-2
O46427	UniRef90_O46427
F1RT87	UniRef90_H3AX47
I3LLV6	UniRef90_H0V591
Q9UI30	UniRef90_Q9UI30
Q9QX80	UniRef90_Q9QX80
F1SRM3	UniRef90_A0A2Y9P1E0
I3LBW5	UniRef90_A0A286XNV4
I3LUY1	UniRef90_I3LUY1
H0YM16	UniRef90_H0YM16
O15121	UniRef90_O15121
A0A087X243	UniRef90_A0A087X243
K7ER94	UniRef90_K7ER94
A0A0B4J1W6	UniRef90_A0A0B4J1W6
Q9Z1Z0	UniRef90_Q9Z1Z0
P49750	UniRef90_P49750
Q96CU9	UniRef90_Q96CU9
A0A024BTL2	UniRef90_A0A024BTL2
Q62703	UniRef90_Q62703
F1SRD2	UniRef90_A0A2Y9LW99
C9JB63	UniRef90_C9JB63
Q4VAE3	UniRef90_Q4VAE3
P45952	UniRef90_P45952
Q9BRK3	UniRef90_Q9BRK3
A0A087WTE8	UniRef90_A0A087WTE8
Q61249	UniRef90_Q61249
O15269	UniRef90_O15269
H0Y9Q1	UniRef90_H0Y9Q1
F1SJP2	UniRef90_A0A673T7G3
F1RR85	UniRef90_A0A4X1TVJ3
F1S4J0	UniRef90_F1S4J0
F2Z5Q3	UniRef90_F2Z5Q3
Q3UMR5	UniRef90_Q3UMR5
H3BS02	UniRef90_H3BS02
C9JFM5	UniRef90_C9JFM5
B4DEM9	UniRef90_B4DEM9
I3LEN9	UniRef90_A0A4X1UI23
I3L7R7	UniRef90_A0A6J2L7N8
